name,price,url,views_cnt,city,seller,seller_rating,comments_cnt
Этно украшения,5000.0,https://www.avito.ru/nalchik/chasy_i_ukrasheniya/etno_ukrasheniya_4133893072?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,143,Нальчик,Мирабель,,11
Этно серьги с заколкой,950.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/etno_sergi_s_zakolkoy_4556816624?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,31,Москва,Национальные пояса Нальчик Ethnopoyasa Nalchik,,0
Этно кольца,790.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/etno_koltsa_3735549443?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,1091,Москва,Динара,,72
"Бижутерия, разные украшения в этно бохо стиле",300.0,https://www.avito.ru/penza/chasy_i_ukrasheniya/bizhuteriya_raznye_ukrasheniya_v_etno_boho_stile_4437515708?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,421,Пенза,ANNA,,9
Этно украшения,4000.0,https://www.avito.ru/mahachkala/chasy_i_ukrasheniya/etno_ukrasheniya_7208558767?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,72,Махачкала,Аминат,,18
Серьги Подвеска кулон в этно бохо стиле и браслеты,591.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/sergi_podveska_kulon_v_etno_boho_stile_i_braslety_7243114268?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,51,Москва,Дольча Габбановна,,30
Комплект украшений бохо этно серьги и подвеска,585.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/komplekt_ukrasheniy_boho_etno_sergi_i_podveska_4180809861?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,1105,Москва,Товары Бохо шик,,1
Украшения в этно стиле/Мельхиор/Кораллы/СССР/3 ед,1800.0,https://www.avito.ru/ulan-ude/chasy_i_ukrasheniya/ukrasheniya_v_etno_stilemelhiorkorallysssr3_ed_4654947787?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,433,Улан-Удэ,Виктория,,15
Украшение этно бохо из кожи,100.0,https://www.avito.ru/perm/chasy_i_ukrasheniya/ukrashenie_etno_boho_iz_kozhi_4826093560?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,30,Пермь,Лана Дел Рэй,,12
Этно украшения,800.0,https://www.avito.ru/vladikavkaz/chasy_i_ukrasheniya/etno_ukrasheniya_4604551640?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,142,пл. Свободы,Oksana,,5
